,datetime,name,price,quantity
176,2019-08-02 18:41:00,Peshwari Naan,2.95,1
177,2019-08-02 18:41:00,Plain Papadum,0.8,10
178,2019-08-02 18:41:00,Spicy Papadum,0.8,2
179,2019-08-02 18:41:00,Mango Chutney,0.5,2
180,2019-08-02 18:41:00,Onion Chutney,0.5,6
181,2019-08-02 18:41:00,Red Sauce,0.5,4
182,2019-08-02 18:41:00,Mint Sauce,0.5,2
183,2019-08-02 18:18:00,Vindaloo - Chicken,7.95,1
184,2019-08-02 18:18:00,Madras - Chicken Tikka,7.95,1
185,2019-08-02 18:18:00,Plain Rice,2.95,2
186,2019-08-02 18:18:00,Plain Naan,2.6,2
187,2019-08-02 18:18:00,Madras - Chicken,7.95,1
188,2019-08-02 18:18:00,Plain Papadum,0.8,4
189,2019-08-02 18:18:00,Bombay Aloo,5.95,1
190,2019-08-02 17:57:00,Chicken Tikka Jalfrezi,8.95,1
191,2019-08-02 17:57:00,Pilau Rice,2.95,1
192,2019-08-02 17:57:00,Plain Papadum,0.8,2
193,2019-08-02 17:57:00,Spicy Papadum,0.8,1
194,2019-08-02 17:57:00,Vindaloo Sauce,3.95,1
195,2019-08-02 17:43:00,Onion Bhajee,3.95,1
196,2019-08-02 17:43:00,Mango Chutney,0.5,1
197,2019-08-02 17:43:00,Meat Samosa,3.95,1
198,2019-08-02 17:43:00,Chicken Pakora,5.95,1
199,2019-08-02 17:43:00,Lamb Biryani,9.95,1
200,2019-08-02 17:43:00,Chicken Biryani,9.95,1
201,2019-08-02 17:43:00,Chicken Tikka Biryani,10.95,1
202,2019-08-02 17:43:00,Aloo Gobi,5.95,1
203,2019-08-02 17:26:00,Chicken Tikka Jalfrezi,8.95,1
204,2019-08-02 17:26:00,Bombay Aloo,5.95,1
205,2019-08-02 17:26:00,Chana Masala,5.95,1
206,2019-08-02 17:26:00,Dupiaza - Chicken,8.95,1
207,2019-08-02 17:26:00,Keema Naan,2.95,1
208,2019-08-02 17:26:00,Pilau Rice,2.95,1
209,2019-08-02 17:26:00,Mushroom Rice,3.95,1
210,2019-08-02 14:11:00,Muttar Paneer,5.95,1
211,2019-08-02 14:11:00,Garlic Naan,2.95,1
212,2019-08-02 14:11:00,Mushroom Rice,3.95,1
213,2019-08-02 14:11:00,Plain Naan,2.6,1
214,2019-08-02 11:35:00,Chicken Tikka (Main),8.95,2
215,2019-08-02 11:35:00,Tandoori Mixed Grill,11.95,1
216,2019-08-02 11:35:00,Chicken Tikka Masala,8.95,1
217,2019-08-02 11:35:00,Curry - Chicken,7.95,1
218,2019-08-02 11:35:00,Bombay Aloo,5.95,2
219,2019-08-02 11:35:00,Muttar Paneer,5.95,1
220,2019-08-02 11:35:00,Plain Naan,2.6,4
221,2019-08-02 11:35:00,Pilau Rice,2.95,4
222,2019-08-02 11:35:00,Keema Rice,3.95,1
223,2019-08-02 11:35:00,Aloo Chaat,4.95,1
224,2019-08-02 11:35:00,Chicken Balti,9.95,1
225,2019-08-02 11:35:00,Chicken Shashlick,9.95,1
226,2019-08-02 11:35:00,Vegetable Balti,9.95,1
227,2019-08-02 11:35:00,Cauliflower Bhajee,5.95,1
228,2019-08-02 11:35:00,Vindaloo - Chicken,7.95,1
229,2019-08-01 20:42:00,Butter Chicken,9.95,1
230,2019-08-01 20:42:00,Prawn Balti,10.95,1
231,2019-08-01 19:51:00,Tandoori Chicken Masala,8.95,1
232,2019-08-01 19:51:00,Curry - Chicken,7.95,1
233,2019-08-01 19:51:00,Aloo Gobi,5.95,1
234,2019-08-01 19:51:00,Plain Naan,2.6,1
